통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,서울특별시,종로구,아동양육비,
통합,서울특별시,종로구,추가아동양육비,
통합,서울특별시,중구,아동양육비,
통합,서울특별시,중구,추가아동양육비,
통합,서울특별시,용산구,아동양육비,
통합,서울특별시,용산구,생활보조금,
통합,서울특별시,용산구,추가아동양육비,
통합,서울특별시,성동구,아동양육비,
통합,서울특별시,성동구,생활보조금,
통합,서울특별시,성동구,추가아동양육비,
통합,서울특별시,광진구,아동양육비,
통합,서울특별시,광진구,추가아동양육비,
통합,서울특별시,동대문구,아동양육비,
통합,서울특별시,동대문구,추가아동양육비,
통합,서울특별시,중랑구,아동양육비,
통합,서울특별시,중랑구,추가아동양육비,
통합,서울특별시,성북구,아동양육비,
통합,서울특별시,성북구,생활보조금,
통합,서울특별시,성북구,추가아동양육비,
통합,서울특별시,강북구,아동양육비,
통합,서울특별시,강북구,추가아동양육비,
통합,서울특별시,도봉구,아동양육비,
통합,서울특별시,도봉구,추가아동양육비,
통합,서울특별시,노원구,아동양육비,
통합,서울특별시,노원구,추가아동양육비,
통합,서울특별시,은평구,아동양육비,
통합,서울특별시,은평구,추가아동양육비,
통합,서울특별시,서대문구,아동양육비,
통합,서울특별시,서대문구,생활보조금,
통합,서울특별시,서대문구,추가아동양육비,
통합,서울특별시,마포구,아동양육비,
통합,서울특별시,마포구,생활보조금,
통합,서울특별시,마포구,추가아동양육비,
통합,서울특별시,양천구,아동양육비,
통합,서울특별시,양천구,추가아동양육비,
통합,서울특별시,강서구,아동양육비,
통합,서울특별시,강서구,추가아동양육비,
통합,서울특별시,구로구,아동양육비,
통합,서울특별시,구로구,생활보조금,
통합,서울특별시,구로구,추가아동양육비,
통합,서울특별시,금천구,아동양육비,
통합,서울특별시,금천구,추가아동양육비,
통합,서울특별시,영등포구,아동양육비,
통합,서울특별시,영등포구,추가아동양육비,
통합,서울특별시,동작구,아동양육비,
통합,서울특별시,동작구,추가아동양육비,
통합,서울특별시,관악구,아동양육비,
통합,서울특별시,관악구,추가아동양육비,
통합,서울특별시,서초구,아동양육비,
통합,서울특별시,서초구,추가아동양육비,
통합,서울특별시,강남구,아동양육비,
통합,서울특별시,강남구,추가아동양육비,
통합,서울특별시,송파구,아동양육비,
통합,서울특별시,송파구,추가아동양육비,
통합,서울특별시,강동구,아동양육비,
통합,서울특별시,강동구,추가아동양육비,
통합,부산광역시,중구,아동양육비,
통합,부산광역시,중구,추가아동양육비,
통합,부산광역시,서구,아동양육비,
통합,부산광역시,서구,생활보조금,
통합,부산광역시,서구,추가아동양육비,
통합,부산광역시,동구,아동양육비,
통합,부산광역시,동구,추가아동양육비,
통합,부산광역시,영도구,아동양육비,
통합,부산광역시,영도구,생활보조금,
통합,부산광역시,영도구,추가아동양육비,
통합,부산광역시,부산진구,아동양육비,
통합,부산광역시,부산진구,추가아동양육비,
통합,부산광역시,동래구,아동양육비,
통합,부산광역시,동래구,추가아동양육비,
통합,부산광역시,남구,아동양육비,
통합,부산광역시,남구,추가아동양육비,
통합,부산광역시,북구,아동양육비,
통합,부산광역시,북구,추가아동양육비,
통합,부산광역시,해운대구,아동양육비,
통합,부산광역시,해운대구,추가아동양육비,
통합,부산광역시,사하구,아동양육비,
통합,부산광역시,사하구,생활보조금,
통합,부산광역시,사하구,추가아동양육비,
통합,부산광역시,금정구,아동양육비,
통합,부산광역시,금정구,추가아동양육비,
통합,부산광역시,강서구,아동양육비,
통합,부산광역시,강서구,추가아동양육비,
통합,부산광역시,연제구,아동양육비,
통합,부산광역시,연제구,생활보조금,
통합,부산광역시,연제구,추가아동양육비,
통합,부산광역시,수영구,아동양육비,
통합,부산광역시,수영구,추가아동양육비,
통합,부산광역시,사상구,아동양육비,
통합,부산광역시,사상구,추가아동양육비,
통합,부산광역시,기장군,아동양육비,
통합,부산광역시,기장군,추가아동양육비,
통합,대구광역시,중구,아동양육비,
통합,대구광역시,중구,생활보조금,
통합,대구광역시,중구,추가아동양육비,
통합,대구광역시,동구,아동양육비,
통합,대구광역시,동구,추가아동양육비,
통합,대구광역시,서구,아동양육비,
통합,대구광역시,서구,생활보조금,
통합,대구광역시,서구,추가아동양육비,
통합,대구광역시,남구,아동양육비,
통합,대구광역시,남구,추가아동양육비,
통합,대구광역시,북구,아동양육비,
통합,대구광역시,북구,추가아동양육비,
통합,대구광역시,수성구,아동양육비,
통합,대구광역시,수성구,추가아동양육비,
통합,대구광역시,달서구,아동양육비,
통합,대구광역시,달서구,생활보조금,
통합,대구광역시,달서구,추가아동양육비,
통합,대구광역시,달성군,아동양육비,
통합,대구광역시,달성군,추가아동양육비,
통합,대구광역시,군위군,아동양육비,
통합,대구광역시,군위군,추가아동양육비,
통합,인천광역시,중구,아동양육비,
통합,인천광역시,중구,추가아동양육비,
통합,인천광역시,동구,아동양육비,
통합,인천광역시,동구,추가아동양육비,
통합,인천광역시,미추홀구,아동양육비,
통합,인천광역시,미추홀구,생활보조금,
통합,인천광역시,미추홀구,추가아동양육비,
통합,인천광역시,연수구,아동양육비,
통합,인천광역시,연수구,생활보조금,
통합,인천광역시,연수구,추가아동양육비,
통합,인천광역시,남동구,아동양육비,
통합,인천광역시,남동구,생활보조금,
통합,인천광역시,남동구,추가아동양육비,
통합,인천광역시,부평구,아동양육비,
통합,인천광역시,부평구,추가아동양육비,
통합,인천광역시,계양구,아동양육비,
통합,인천광역시,계양구,추가아동양육비,
통합,인천광역시,서구,아동양육비,
통합,인천광역시,서구,추가아동양육비,
통합,인천광역시,강화군,아동양육비,
통합,인천광역시,강화군,추가아동양육비,
통합,인천광역시,옹진군,아동양육비,
통합,인천광역시,옹진군,추가아동양육비,
통합,광주광역시,동구,아동양육비,
통합,광주광역시,동구,추가아동양육비,
통합,광주광역시,서구,아동양육비,
통합,광주광역시,서구,추가아동양육비,
통합,광주광역시,남구,아동양육비,
통합,광주광역시,남구,생활보조금,
통합,광주광역시,남구,추가아동양육비,
통합,광주광역시,북구,아동양육비,
통합,광주광역시,북구,추가아동양육비,
통합,광주광역시,광산구,아동양육비,
통합,광주광역시,광산구,생활보조금,
통합,광주광역시,광산구,추가아동양육비,
통합,대전광역시,동구,아동양육비,
통합,대전광역시,동구,추가아동양육비,
통합,대전광역시,중구,아동양육비,
통합,대전광역시,중구,생활보조금,
통합,대전광역시,중구,추가아동양육비,
통합,대전광역시,서구,아동양육비,
통합,대전광역시,서구,추가아동양육비,
통합,대전광역시,유성구,아동양육비,
통합,대전광역시,유성구,추가아동양육비,
통합,대전광역시,대덕구,아동양육비,
통합,대전광역시,대덕구,추가아동양육비,
통합,울산광역시,중구,아동양육비,
통합,울산광역시,중구,생활보조금,
통합,울산광역시,중구,추가아동양육비,
통합,울산광역시,남구,아동양육비,
통합,울산광역시,남구,추가아동양육비,
통합,울산광역시,동구,아동양육비,
통합,울산광역시,동구,추가아동양육비,
통합,울산광역시,북구,아동양육비,
통합,울산광역시,북구,추가아동양육비,
통합,울산광역시,울주군,아동양육비,
통합,울산광역시,울주군,생활보조금,
통합,울산광역시,울주군,추가아동양육비,
통합,세종특별자치시,세종특별자치시,아동양육비,
통합,세종특별자치시,세종특별자치시,추가아동양육비,
통합,경기도,수원시,아동양육비,
통합,경기도,수원시,생활보조금,
통합,경기도,수원시,추가아동양육비,
통합,경기도,성남시,아동양육비,
통합,경기도,성남시,추가아동양육비,
통합,경기도,의정부시,아동양육비,
통합,경기도,의정부시,추가아동양육비,
통합,경기도,안양시,아동양육비,
통합,경기도,안양시,추가아동양육비,
통합,경기도,부천시,아동양육비,
통합,경기도,부천시,생활보조금,
통합,경기도,부천시,추가아동양육비,
통합,경기도,광명시,아동양육비,
통합,경기도,광명시,추가아동양육비,
통합,경기도,평택시,아동양육비,
통합,경기도,평택시,추가아동양육비,
통합,경기도,동두천시,아동양육비,
통합,경기도,동두천시,추가아동양육비,
통합,경기도,안산시,아동양육비,
통합,경기도,안산시,생활보조금,
통합,경기도,안산시,추가아동양육비,
통합,경기도,고양시,아동양육비,
통합,경기도,고양시,추가아동양육비,
통합,경기도,과천시,아동양육비,
통합,경기도,과천시,추가아동양육비,
통합,경기도,구리시,아동양육비,
통합,경기도,구리시,추가아동양육비,
통합,경기도,남양주시,아동양육비,
통합,경기도,남양주시,추가아동양육비,
통합,경기도,오산시,아동양육비,
통합,경기도,오산시,추가아동양육비,
통합,경기도,시흥시,아동양육비,
통합,경기도,시흥시,추가아동양육비,
통합,경기도,군포시,아동양육비,
통합,경기도,군포시,추가아동양육비,
통합,경기도,의왕시,아동양육비,
통합,경기도,의왕시,추가아동양육비,
통합,경기도,하남시,아동양육비,
통합,경기도,하남시,추가아동양육비,
통합,경기도,용인시,아동양육비,
통합,경기도,용인시,생활보조금,
통합,경기도,용인시,추가아동양육비,
통합,경기도,파주시,아동양육비,
통합,경기도,파주시,추가아동양육비,
통합,경기도,이천시,아동양육비,
통합,경기도,이천시,추가아동양육비,
통합,경기도,안성시,아동양육비,
통합,경기도,안성시,추가아동양육비,
통합,경기도,김포시,아동양육비,
통합,경기도,김포시,추가아동양육비,
통합,경기도,화성시,아동양육비,
통합,경기도,화성시,추가아동양육비,
통합,경기도,광주시,아동양육비,
통합,경기도,광주시,추가아동양육비,
통합,경기도,양주시,아동양육비,
통합,경기도,양주시,추가아동양육비,
통합,경기도,포천시,아동양육비,
통합,경기도,포천시,추가아동양육비,
통합,경기도,여주시,아동양육비,
통합,경기도,여주시,생활보조금,
통합,경기도,여주시,추가아동양육비,
통합,경기도,연천군,아동양육비,
통합,경기도,연천군,추가아동양육비,
통합,경기도,가평군,아동양육비,
통합,경기도,가평군,추가아동양육비,
통합,경기도,양평군,아동양육비,
통합,경기도,양평군,추가아동양육비,
통합,충청북도,청주시,아동양육비,
통합,충청북도,청주시,생활보조금,
통합,충청북도,청주시,추가아동양육비,
통합,충청북도,충주시,아동양육비,
통합,충청북도,충주시,추가아동양육비,
통합,충청북도,제천시,아동양육비,
통합,충청북도,제천시,추가아동양육비,
통합,충청북도,보은군,아동양육비,
통합,충청북도,보은군,추가아동양육비,
통합,충청북도,옥천군,아동양육비,
통합,충청북도,옥천군,추가아동양육비,
통합,충청북도,영동군,아동양육비,
통합,충청북도,영동군,추가아동양육비,
통합,충청북도,증평군,아동양육비,
통합,충청북도,증평군,추가아동양육비,
통합,충청북도,진천군,아동양육비,
통합,충청북도,진천군,추가아동양육비,
통합,충청북도,괴산군,아동양육비,
통합,충청북도,괴산군,추가아동양육비,
통합,충청북도,음성군,아동양육비,
통합,충청북도,음성군,추가아동양육비,
통합,충청북도,단양군,아동양육비,
통합,충청북도,단양군,추가아동양육비,
통합,충청남도,천안시,아동양육비,
통합,충청남도,천안시,생활보조금,
통합,충청남도,천안시,추가아동양육비,
통합,충청남도,공주시,아동양육비,
통합,충청남도,공주시,추가아동양육비,
통합,충청남도,보령시,아동양육비,
통합,충청남도,보령시,추가아동양육비,
통합,충청남도,아산시,아동양육비,
통합,충청남도,아산시,추가아동양육비,
통합,충청남도,서산시,아동양육비,
통합,충청남도,서산시,추가아동양육비,
통합,충청남도,논산시,아동양육비,
통합,충청남도,논산시,추가아동양육비,
통합,충청남도,계룡시,아동양육비,
통합,충청남도,계룡시,생활보조금,
통합,충청남도,계룡시,추가아동양육비,
통합,충청남도,당진시,아동양육비,
통합,충청남도,당진시,추가아동양육비,
통합,충청남도,금산군,아동양육비,
통합,충청남도,금산군,추가아동양육비,
통합,충청남도,부여군,아동양육비,
통합,충청남도,부여군,추가아동양육비,
통합,충청남도,서천군,아동양육비,
통합,충청남도,서천군,생활보조금,
통합,충청남도,서천군,추가아동양육비,
통합,충청남도,청양군,아동양육비,
통합,충청남도,청양군,추가아동양육비,
통합,충청남도,홍성군,아동양육비,
통합,충청남도,홍성군,추가아동양육비,
통합,충청남도,예산군,아동양육비,
통합,충청남도,예산군,추가아동양육비,
통합,충청남도,태안군,아동양육비,
통합,충청남도,태안군,추가아동양육비,
통합,전라남도,목포시,아동양육비,
통합,전라남도,목포시,생활보조금,
통합,전라남도,목포시,추가아동양육비,
통합,전라남도,여수시,아동양육비,
통합,전라남도,여수시,추가아동양육비,
통합,전라남도,순천시,아동양육비,
통합,전라남도,순천시,추가아동양육비,
통합,전라남도,나주시,아동양육비,
통합,전라남도,나주시,추가아동양육비,
통합,전라남도,광양시,아동양육비,
통합,전라남도,광양시,추가아동양육비,
통합,전라남도,담양군,아동양육비,
통합,전라남도,담양군,추가아동양육비,
통합,전라남도,곡성군,아동양육비,
통합,전라남도,곡성군,추가아동양육비,
통합,전라남도,구례군,아동양육비,
통합,전라남도,구례군,추가아동양육비,
통합,전라남도,고흥군,아동양육비,
통합,전라남도,고흥군,추가아동양육비,
통합,전라남도,보성군,아동양육비,
통합,전라남도,보성군,추가아동양육비,
통합,전라남도,화순군,아동양육비,
통합,전라남도,화순군,추가아동양육비,
통합,전라남도,장흥군,아동양육비,
통합,전라남도,장흥군,추가아동양육비,
통합,전라남도,강진군,아동양육비,
통합,전라남도,강진군,추가아동양육비,
통합,전라남도,해남군,아동양육비,
통합,전라남도,해남군,추가아동양육비,
통합,전라남도,영암군,아동양육비,
통합,전라남도,영암군,추가아동양육비,
통합,전라남도,무안군,아동양육비,
통합,전라남도,무안군,추가아동양육비,
통합,전라남도,함평군,아동양육비,
통합,전라남도,함평군,추가아동양육비,
통합,전라남도,영광군,아동양육비,
통합,전라남도,영광군,추가아동양육비,
통합,전라남도,장성군,아동양육비,
통합,전라남도,장성군,추가아동양육비,
통합,전라남도,완도군,아동양육비,
통합,전라남도,완도군,추가아동양육비,
통합,전라남도,진도군,아동양육비,
통합,전라남도,진도군,추가아동양육비,
통합,전라남도,신안군,아동양육비,
통합,전라남도,신안군,추가아동양육비,
통합,경상북도,포항시,아동양육비,
통합,경상북도,포항시,추가아동양육비,
통합,경상북도,경주시,아동양육비,
통합,경상북도,경주시,생활보조금,
통합,경상북도,경주시,추가아동양육비,
통합,경상북도,김천시,아동양육비,
통합,경상북도,김천시,추가아동양육비,
통합,경상북도,안동시,아동양육비,
통합,경상북도,안동시,생활보조금,
통합,경상북도,안동시,추가아동양육비,
통합,경상북도,구미시,아동양육비,
통합,경상북도,구미시,추가아동양육비,
통합,경상북도,영주시,아동양육비,
통합,경상북도,영주시,추가아동양육비,
통합,경상북도,영천시,아동양육비,
통합,경상북도,영천시,추가아동양육비,
통합,경상북도,상주시,아동양육비,
통합,경상북도,상주시,추가아동양육비,
통합,경상북도,문경시,아동양육비,
통합,경상북도,문경시,추가아동양육비,
통합,경상북도,경산시,아동양육비,
통합,경상북도,경산시,추가아동양육비,
통합,경상북도,의성군,아동양육비,
통합,경상북도,의성군,추가아동양육비,
통합,경상북도,청송군,아동양육비,
통합,경상북도,청송군,추가아동양육비,
통합,경상북도,영양군,아동양육비,
통합,경상북도,영양군,추가아동양육비,
통합,경상북도,영덕군,아동양육비,
통합,경상북도,영덕군,추가아동양육비,
통합,경상북도,청도군,아동양육비,
통합,경상북도,청도군,추가아동양육비,
통합,경상북도,고령군,아동양육비,
